1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%
PizzaThief,Lt,1,1,,,,,,,,,,PizzaThief,Lt,1,1,,,,,,,,,,PizzaThief,L,,1,2,2,0,3,7,273,280,143,30,PizzaThief,W,1,,2,2,0,2,25,189,286,139,21,PizzaThief,L,,1,2,3,0,3,18,331,383,149,23,PizzaThief,L,,1,3,3,0,3,32,339,348,125,34,PizzaThief,L,,1,3,2,0,2,14,136,255,114,21,PizzaThief,W,1,,3,2,1,3,52,327,286,147,25,PizzaThief,L,,1,3,3,1,2,47,326,296,134,42,PizzaThief,W,1,,1,3,0,2,30,330,301,112,37,PizzaThief,L,,1,2,3,0,2,44,162,311,112,33,PizzaThief,W,1,,0,3,0,3,39,195,333,144,28,PizzaThief,L,,1,2,3,1,4,37,364,439,163,23,PizzaThief,L,,1,4,3,0,2,48,338,321,131,38
Precision,W,1,,4,1,0,4,17,364,219,110,38,Precision,W,1,,4,1,0,4,0,421,287,160,48,Precision,W,1,,1,1,0,2,23,230,301,178,46,Precision,W,1,,4,1,0,3,4,472,255,171,33,Precision,L,,1,1,3,0,3,17,298,363,140,34,Precision,W,1,,3,2,0,6,15,400,362,191,37,Precision,W,1,,4,2,0,4,13,409,360,162,46,Precision,W,1,,3,2,0,2,48,434,195,95,50,Precision,W,1,,4,2,0,4,43,559,243,100,42,Precision,W,1,,3,2,0,3,15,451,187,114,47,Precision,W,1,,3,1,1,5,48,558,231,128,33,Precision,W,1,,5,1,0,3,20,489,272,125,42,Precision,W,1,,5,2,0,3,36,378,307,135,46,Precision,W,1,,4,2,0,5,58,597,329,120,40
Sharknado,W,1,,0,3,1,1,58,163,334,154,29,Sharknado,L,,1,1,3,1,3,11,296,417,156,30,Sharknado,L,,1,0,4,0,2,23,131,371,115,33,Sharknado,W,1,,0,3,1,3,33,250,295,114,29,Sharknado,L,,1,1,4,0,3,33,325,417,105,31,Sharknado,L,,1,2,4,0,3,3,208,391,123,21,Sharknado,L,,1,0,3,1,2,40,218,286,128,31,Sharknado,W,1,,1,3,0,4,9,344,439,174,29,Sharknado,W,1,,5,2,0,2,47,286,297,122,26,Sharknado,L,,1,1,3,0,2,0,187,300,110,34,Sharknado,W,1,,1,3,0,0,57,126,231,94,29,Sharknado,L,,1,2,3,0,4,4,447,364,170,40,Sharknado,W,1,,1,2,0,3,36,366,334,163,25,Sharknado,W,1,,2,2,1,4,15,252,423,160,31
Sheikmastr,L,,1,1,3,1,3,59,315,292,116,51,Sheikmastr,W,1,,2,2,0,2,56,293,275,155,30,Sheikmastr,L,,1,1,3,0,2,25,126,201,109,31,Sheikmastr,W,1,,2,3,1,2,59,241,234,117,32,Sheikmastr,W,1,,3,1,1,3,56,457,220,118,45,Sheikmastr,L,,1,0,3,1,5,15,341,386,154,38,Sheikmastr,L,,1,1,3,0,4,19,254,380,150,55,Sheikmastr,L,,1,1,3,1,3,52,165,285,147,31,Sheikmastr,L,,1,2,3,0,3,57,341,336,175,48,Sheikmastr,L,,1,3,3,0,4,20,350,261,160,31,Sheikmastr,L,,1,3,3,1,5,38,338,359,143,33,Sheikmastr,L,,1,1,3,1,4,10,318,377,157,44,Sheikmastr,L,,1,1,3,0,3,42,194,374,154,32,Sheikmastr,L,,1,2,3,0,3,38,219,418,161,37
SnorHAX,Lt,1,1,,,,,,,,,,SnorHAX,Lt,1,1,,,,,,,,,,SnorHAX,L,,1,3,3,0,2,48,287,372,148,45,SnorHAX,W,1,,3,2,0,5,39,484,389,140,54,SnorHAX,W,1,,4,2,0,4,1,500,368,149,29,SnorHAX,L,,1,4,3,0,6,15,441,513,183,34,SnorHAX,L,,1,2,2,1,3,34,327,294,157,46,SnorHAX,W,1,,6,2,0,4,57,481,284,145,32,SnorHAX,L,,1,3,3,0,4,43,447,543,180,42,SnorHAX,W,1,,4,2,1,4,20,543,301,105,52,SnorHAX,W,1,,3,1,0,2,37,303,183,173,46,SnorHAX,W,1,,4,0,0,3,31,478,173,155,51,SnorHAX,W,1,,2,1,0,2,9,321,174,115,54,SnorHAX,W,1,,3,2,0,2,30,414,180,102,53
sotrh,W,1,,2,1,1,4,28,445,288,173,34,sotrh,W,1,,0,2,0,3,37,211,295,167,40,sotrh,W,1,,3,2,1,5,13,462,251,146,37,sotrh,L,,1,0,3,0,3,4,157,343,140,25,sotrh,W,1,,1,2,0,3,7,250,200,97,38,sotrh,L,,1,0,3,0,3,26,313,363,132,51,sotrh,No,,,,,,,,,,,,sotrh,No,,,,,,,,,,,,sotrh,No,,,,,,,,,,,,sotrh,No,,,,,,,,,,,,sotrh,W,1,,4,2,1,2,53,365,262,129,53,sotrh,L,,1,3,3,0,3,20,222,516,203,26,sotrh,W,1,,3,3,0,3,17,210,298,151,38,sotrh,L,,1,3,3,0,4,56,363,428,146,46
Splice,L,,1,3,3,2,4,17,482,443,218,40,Splice,W,1,,0,2,0,3,22,264,356,124,28,Splice,W,1,,5,1,0,2,20,284,236,158,54,Splice,W,1,,3,3,0,5,32,455,422,168,52,Splice,W,1,,3,2,2,3,44,515,257,163,48,Splice,W,1,,3,2,0,6,15,382,295,153,35,Splice,L,,1,1,2,0,3,48,240,271,148,25,Splice,W,1,,3,2,1,5,25,391,375,137,25,Splice,W,1,,3,2,0,6,39,568,391,173,30,Splice,L,,1,2,3,0,3,26,390,400,150,30,Splice,W,1,,2,2,1,4,29,412,291,122,48,Splice,L,,1,3,3,0,4,6,233,420,168,35,Splice,W,1,,3,1,1,4,13,425,263,146,34,Splice,L,,1,3,3,2,4,15,413,409,163,38
TaiyoEXE,W,1,,0,3,0,2,1,181,254,126,36,TaiyoEXE,L,,1,1,3,0,3,22,219,301,119,25,TaiyoEXE,W,1,,3,2,0,2,48,295,253,148,44,TaiyoEXE,L,,1,2,3,0,2,46,160,321,180,28,TaiyoEXE,No,,,,,,,,,,,,TaiyoEXE,No,,,,,,,,,,,,TaiyoEXE,L,,1,3,4,0,2,48,454,332,106,45,TaiyoEXE,W,1,,1,2,0,2,48,165,240,149,39,TaiyoEXE,L,,1,2,3,0,2,2,174,292,139,21,TaiyoEXE,L,,1,3,3,1,2,54,304,329,151,44,TaiyoEXE,No,,,,,,,,,,,,TaiyoEXE,No,,,,,,,,,,,,TaiyoEXE,L,,1,0,3,1,2,21,274,502,208,42,TaiyoEXE,W,1,,1,2,1,4,34,376,230,107,50
UsEight,W,1,,3,1,1,2,21,241,170,159,40,UsEight,L,,1,2,3,1,3,29,396,403,148,36,UsEight,W,1,,3,2,0,2,57,223,327,144,37,UsEight,L,,1,4,3,0,5,39,456,478,172,42,UsEight,L,,1,3,3,0,3,49,270,373,182,28,UsEight,W,1,,2,2,0,5,17,451,364,179,31,UsEight,W,1,,1,2,0,4,17,334,430,203,31,UsEight,L,,1,3,3,1,5,25,422,556,170,28,UsEight,L,,1,1,3,0,2,52,182,321,129,30,UsEight,W,1,,3,2,0,5,45,374,315,157,29,UsEight,L,,1,2,3,0,3,20,199,374,146,29,UsEight,W,1,,6,2,0,4,6,275,324,189,26,UsEight,L,,1,0,3,0,4,34,234,401,168,26,UsEight,W,1,,2,1,0,2,41,235,147,115,25
Vars437,Lt,1,1,,,,,,,,,,Vars437,Lt,1,1,,,,,,,,,,Vars437,W,1,,1,3,0,2,30,175,275,113,37,Vars437,L,,1,1,3,3,3,8,338,206,143,41,Vars437,L,,1,3,3,0,4,1,378,359,144,44,Vars437,L,,1,1,3,0,2,43,356,350,138,32,Vars437,L,,1,1,3,0,2,56,291,280,132,32,Vars437,W,1,,4,1,0,5,15,502,282,153,47,Vars437,L,,1,1,3,0,1,33,144,192,77,32,Vars437,L,,1,3,3,0,2,51,226,369,154,45,Vars437,L,,1,0,3,1,5,48,379,392,144,32,Vars437,W,1,,2,2,0,5,6,216,327,156,19,Vars437,W,1,,1,3,0,3,16,189,305,157,25,Vars437,W,1,,2,1,1,2,30,152,212,111,21
Zenith,L,,1,2,3,1,3,47,204,517,233,15,Zenith,W,1,,6,2,0,3,22,231,250,108,27,Zenith,W,1,,3,3,0,3,46,303,342,142,38,Zenith,L,,1,1,3,0,4,14,231,372,144,40,Zenith,L,,1,0,3,0,2,57,144,335,126,34,Zenith,W,1,,0,2,0,3,49,132,322,134,23,Zenith,L,,1,1,3,1,4,9,257,353,131,48,Zenith,W,1,,0,3,0,1,49,67,274,153,21,Zenith,W,1,,2,3,0,2,3,109,184,114,33,Zenith,W,1,,1,2,0,4,20,132,321,149,20,Zenith,No,,,,,,,,,,,,Zenith,No,,,,,,,,,,,,Zenith,W,1,,2,0,0,2,9,113,123,123,23,Zenith,W,1,,1,3,1,4,34,321,468,175,32
Zero,W,1,,2,1,0,3,59,232,275,159,41,Zero,W,1,,3,0,0,2,52,183,161,161,41,Zero,L,,1,2,3,0,3,58,252,379,202,39,Zero,L,,1,1,2,1,4,3,236,356,198,40,Zero,L,,1,2,2,0,6,54,264,281,139,27,Zero,W,1,,2,2,0,3,56,203,198,119,43,Zero,W,1,,2,1,0,4,19,319,220,116,57,Zero,L,,1,1,3,1,5,15,305,445,161,42,Zero,L,,1,0,3,0,3,40,224,341,167,32,Zero,L,,1,3,3,0,3,7,145,378,135,20,Zero,L,,1,0,3,0,4,29,306,423,177,34,Zero,L,,1,2,3,0,3,59,154,423,178,33,Zero,W,1,,2,1,2,4,37,399,222,178,51,Zero,W,1,,1,1,1,4,35,403,143,102,39
FroCho,L,,1,1,3,1,3,37,405,371,153,35,FroCho,W,1,,2,2,0,2,36,233,289,120,38,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,
Bunny,W,1,,2,3,0,4,28,324,378,148,32,Bunny,W,1,,4,2,1,3,37,442,487,179,28,Bunny,L,,1,0,3,0,2,35,143,309,126,22,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,W,1,,3,4,1,5,82,639,626,152,39,Bunny,L,,1,5,6,2,5,59,597,740,152,27,Bunny,L,,,3,3,0,3,5,281,381,152,29,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,
AethrAstra,L,,,3,3,1,4,0,353,426,148,39,AethrAstra,L,,1,0,3,0,3,10,347,421,164,44,AethrAstra,W,1,,4,2,1,2,20,543,273,105,53,AethrAstra,L,,1,1,2,1,2,57,286,293,152,46,AethrAstra,L,,1,3,3,0,4,3,407,335,134,42,AethrAstra,W,1,,3,1,1,3,17,258,117,64,32,AethrAstra,W,1,,10,8,1,10,79,1218,1359,159,31,AethrAstra,L,,1,0,5,1,7,105,732,546,149,31,AethrAstra,W,1,,5,5,1,5,76,456,692,179,27,AethrAstra,L,,1,4,6,2,10,80,1198,1032,191,36,AethrAstra,W,1,,6,9,3,10,95,1148,1065,154,35,AethrAstra,W,1,,2,7,0,10,113,785,973,153,34,AethrAstra,,,,,,,,,,,,,AethrAstra,W,1,,2,2,0,4,15,494,261,136,41
djSucre,W,1,,3,2,0,2,21,340,245,127,53,djSucre,W,1,,6,2,1,3,10,426,418,156,33,djSucre,W,1,,1,3,1,2,7,313,311,153,53,djSucre,L,,1,1,3,0,2,20,222,301,128,41,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,W,1,,2,2,0,4,13,320,333,122,35,djSucre,W,1,,4,2,0,4,34,496,324,131,49
SnowJP,L,,,2,3,1,2,13,222,362,140,17,SnowJP,L,,1,1,3,1,2,5,257,288,130,27,SnowJP,L,,1,3,3,0,2,49,283,390,154,24,SnowJP,L,,1,3,3,0,2,50,250,435,233,19,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,
CrunX,L,,,3,3,2,2,21,276,274,134,24,CrunX,W,1,,2,2,0,2,38,402,282,132,49,CrunX,L,,1,2,3,1,2,52,278,258,104,40,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,
7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,L,,1,0,3,1,1,37,140,166,79,51,7Lumens,L,,1,0,3,0,1,42,48,205,127,28,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,
NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,L,,1,1,3,0,1,37,73,260,148,26,NONOY,L,,1,1,3,1,2,42,204,289,103,31,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,
Animefreak,,,,,,,,,,,,,Animefreak,,,,,,,,,,,,,Animefreak,,,,,,,,,,,,,Animefreak,,,,,,,,,,,,,Animefreak,W,1,,1,2,0,4,19,423,362,132,34,Animefreak,W,1,,2,2,1,5,15,329,430,182,28,Animefreak,L,,1,1,3,0,1,59,98,396,172,30,Animefreak,L,,1,4,3,1,4,9,402,374,148,41,Animefreak,L,,,2,3,0,4,34,245,478,187,33,Animefreak,L,,1,0,3,0,2,31,236,311,136,48,Animefreak,,,,,,,,,,,,,Animefreak,,,,,,,,,,,,,Animefreak,L,,1,2,3,0,3,2,245,410,159,40,Animefreak,,,,,,,,,,,,
Virgil,,,,,,,,,,,,,Virgil,,,,,,,,,,,,,Virgil,,,,,,,,,,,,,Virgil,,,,,,,,,,,,,Virgil,L,,1,2,3,0,3,5,172,415,171,20,Virgil,L,,1,0,3,1,2,40,164,270,116,37,Virgil,L,,1,3,3,0,2,56,358,369,162,38,Virgil,W,1,,2,2,0,3,52,412,260,120,43,Virgil,W,1,,3,2,1,3,12,432,315,132,46,Virgil,W,1,,1,3,0,3,31,299,449,127,36,Virgil,L,,1,3,3,0,2,47,284,317,129,42,Virgil,W,1,,3,3,0,2,50,306,319,127,39,Virgil,,,,,,,,,,,,,Virgil,,,,,,,,,,,,
Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,W,1,,3,2,1,3,57,343,360,142,31,Meta,W,1,,2,3,0,2,13,183,335,136,21,Meta,L,,1,0,3,0,2,5,252,362,159,34,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,
Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,W,1,,2,3,1,2,34,181,317,113,25,Iora,W,1,,2,2,1,2,56,352,410,144,38,Iora,L,,,0,3,1,3,22,176,417,170,21,Iora,L,,1,1,3,2,3,4,359,395,138,42,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,W,1,,1,3,1,3,38,246,423,163,45,Iora,W,1,,0,3,0,2,59,237,335,128,25
CoolsRoy,Lt,1,1,,,,,,,,,,CoolsRoy,Lt,1,1,,,,,,,,,,CoolsRoy,L,,1,2,4,0,3,36,335,457,139,32,CoolsRoy,W,1,,2,1,0,3,4,320,262,176,40,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,,,,,,,,,,,,,CoolsRoy,,,,,,,,,,,,
